Date,Product,Region,Sales,Profit
2024-01-05,Laptop,North,75000,12000
2024-01-08,Mobile,South,30000,5000
2024-01-12,Tablet,East,20000,3000
2024-01-15,Headphones,West,8000,1500
2024-01-20,Laptop,South,72000,11000
2024-02-02,Mobile,North,28000,4500
2024-02-05,Tablet,West,22000,3200
2024-02-10,Headphones,East,9000,1800
2024-02-18,Laptop,East,77000,12500
2024-02-22,Mobile,West,31000,5200
2024-03-03,Tablet,South,25000,4000
2024-03-08,Headphones,North,8500,1600
2024-03-12,Laptop,West,80000,13000
2024-03-18,Mobile,East,32000,5500
2024-03-25,Tablet,North,27000,4200
2024-04-02,Headphones,South,9500,1700
2024-04-06,Laptop,North,82000,13500
2024-04-10,Mobile,South,33000,6000
2024-04-15,Tablet,East,28000,4500
2024-04-20,Headphones,West,10000,2000
2024-05-05,Laptop,South,84000,14000
2024-05-09,Mobile,North,35000,6500
2024-05-14,Tablet,West,30000,4800
2024-05-18,Headphones,East,11000,2200
2024-06-01,Laptop,East,86000,14500
2024-06-05,Mobile,West,37000,7000
2024-06-10,Tablet,South,32000,5000
2024-06-15,Headphones,North,12000,2500
2024-07-03,Laptop,West,88000,15000
2024-07-08,Mobile,East,39000,7500
2024-07-12,Tablet,North,34000,5500
2024-07-18,Headphones,South,13000,2700
2024-08-02,Laptop,North,90000,15500
2024-08-07,Mobile,South,40000,8000
2024-08-11,Tablet,East,36000,6000
2024-08-18,Headphones,West,14000,3000
2024-09-01,Laptop,South,92000,16000
2024-09-06,Mobile,North,42000,8500
2024-09-10,Tablet,West,38000,6500
2024-09-15,Headphones,East,15000,3200
2024-10-03,Laptop,East,95000,17000
2024-10-07,Mobile,West,45000,9000
2024-10-12,Tablet,South,40000,7000
2024-10-18,Headphones,North,16000,3500
2024-11-02,Laptop,West,98000,18000
2024-11-06,Mobile,East,47000,9500
2024-11-11,Tablet,North,42000,7500
2024-11-18,Headphones,South,17000,3700
2024-12-01,Laptop,North,100000,20000
2024-12-05,Mobile,South,50000,10000
2024-12-10,Tablet,East,45000,8000
2024-12-15,Headphones,West,18000,4000
